"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23","Create file","LMS service","Sun Nov 23 17:49:19 UTC 2025","passed","Sun Nov 23 17:49:19 UTC 2025","Create entity","Files","",""
"","532","Create user","LMS service","Sun Nov 23 17:49:22 UTC 2025","passed","Sun Nov 23 17:49:23 UTC 2025","Create entity","Users","",""
"","265","Create file with empty directory","LMS service","Sun Nov 23 17:49:21 UTC 2025","passed","Sun Nov 23 17:49:22 UTC 2025","Validate entity","Files","",""
"","62","Get exercise","LMS service","Sun Nov 23 17:49:18 UTC 2025","passed","Sun Nov 23 17:49:18 UTC 2025","Get entity","Exercises","",""
"","26","Delete exercise","LMS service","Sun Nov 23 17:49:18 UTC 2025","passed","Sun Nov 23 17:49:18 UTC 2025","Delete entity","Exercises","",""
"","12","Get user me","LMS service","Sun Nov 23 17:49:24 UTC 2025","passed","Sun Nov 23 17:49:24 UTC 2025","Get entity","Users","",""
"","22","Update exercise","LMS service","Sun Nov 23 17:49:17 UTC 2025","passed","Sun Nov 23 17:49:17 UTC 2025","Update entity","Exercises","",""
"","559","Create user","LMS service","Sun Nov 23 17:49:23 UTC 2025","passed","Sun Nov 23 17:49:23 UTC 2025","Create entity","Users","",""
"","550","Login with correct email and password","LMS service","Sun Nov 23 17:49:14 UTC 2025","passed","Sun Nov 23 17:49:15 UTC 2025","Login","Authentication","",""
"","565","Create user","LMS service","Sun Nov 23 17:49:23 UTC 2025","passed","Sun Nov 23 17:49:23 UTC 2025","Create entity","Users","",""
"","35","Update course","LMS service","Sun Nov 23 17:49:16 UTC 2025","passed","Sun Nov 23 17:49:16 UTC 2025","Update entity","Courses","",""
"","262","Create file with empty filename","LMS service","Sun Nov 23 17:49:20 UTC 2025","passed","Sun Nov 23 17:49:21 UTC 2025","Validate entity","Files","",""
"","30","Get courses","LMS service","Sun Nov 23 17:49:15 UTC 2025","passed","Sun Nov 23 17:49:15 UTC 2025","Get entities","Courses","",""
"","290","Get file","LMS service","Sun Nov 23 17:49:21 UTC 2025","passed","Sun Nov 23 17:49:21 UTC 2025","Get entity","Files","",""
"","22","Delete file","LMS service","Sun Nov 23 17:49:22 UTC 2025","passed","Sun Nov 23 17:49:22 UTC 2025","Delete entity","Files","",""
"","27","Create exercise","LMS service","Sun Nov 23 17:49:17 UTC 2025","passed","Sun Nov 23 17:49:17 UTC 2025","Create entity","Exercises","",""
"","259","Get file with incorrect file id","LMS service","Sun Nov 23 17:49:22 UTC 2025","passed","Sun Nov 23 17:49:23 UTC 2025","Validate entity","Files","",""
"","19","Get exercises","LMS service","Sun Nov 23 17:49:19 UTC 2025","passed","Sun Nov 23 17:49:19 UTC 2025","Get entities","Exercises","",""
"","38","Create course","LMS service","Sun Nov 23 17:49:16 UTC 2025","passed","Sun Nov 23 17:49:16 UTC 2025","Create entity","Courses","",""
