"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","265","Get file with incorrect file id","LMS service","Thu Nov 27 10:10:33 UTC 2025","passed","Thu Nov 27 10:10:34 UTC 2025","Validate entity","Files","",""
"","265","Create file with empty directory","LMS service","Thu Nov 27 10:10:32 UTC 2025","passed","Thu Nov 27 10:10:33 UTC 2025","Validate entity","Files","",""
"","534","Create user","LMS service","Thu Nov 27 10:10:33 UTC 2025","passed","Thu Nov 27 10:10:34 UTC 2025","Create entity","Users","",""
"","24","Get exercises","LMS service","Thu Nov 27 10:10:30 UTC 2025","passed","Thu Nov 27 10:10:30 UTC 2025","Get entities","Exercises","",""
"","31","Get courses","LMS service","Thu Nov 27 10:10:26 UTC 2025","passed","Thu Nov 27 10:10:26 UTC 2025","Get entities","Courses","",""
"","290","Create user","LMS service","Thu Nov 27 10:10:34 UTC 2025","passed","Thu Nov 27 10:10:34 UTC 2025","Create entity","Users","",""
"","31","Create exercise","LMS service","Thu Nov 27 10:10:28 UTC 2025","passed","Thu Nov 27 10:10:28 UTC 2025","Create entity","Exercises","",""
"","287","Delete exercise","LMS service","Thu Nov 27 10:10:30 UTC 2025","passed","Thu Nov 27 10:10:30 UTC 2025","Delete entity","Exercises","",""
"","23","Delete file","LMS service","Thu Nov 27 10:10:33 UTC 2025","passed","Thu Nov 27 10:10:33 UTC 2025","Delete entity","Files","",""
"","292","Update exercise","LMS service","Thu Nov 27 10:10:28 UTC 2025","passed","Thu Nov 27 10:10:29 UTC 2025","Update entity","Exercises","",""
"","266","Create file","LMS service","Thu Nov 27 10:10:31 UTC 2025","passed","Thu Nov 27 10:10:31 UTC 2025","Create entity","Files","",""
"","26","Get exercise","LMS service","Thu Nov 27 10:10:29 UTC 2025","passed","Thu Nov 27 10:10:29 UTC 2025","Get entity","Exercises","",""
"","15","Get user me","LMS service","Thu Nov 27 10:10:35 UTC 2025","passed","Thu Nov 27 10:10:35 UTC 2025","Get entity","Users","",""
"","553","Login with correct email and password","LMS service","Thu Nov 27 10:10:25 UTC 2025","passed","Thu Nov 27 10:10:26 UTC 2025","Login","Authentication","",""
"","14","Get file","LMS service","Thu Nov 27 10:10:31 UTC 2025","passed","Thu Nov 27 10:10:31 UTC 2025","Get entity","Files","",""
"","553","Create user","LMS service","Thu Nov 27 10:10:34 UTC 2025","passed","Thu Nov 27 10:10:34 UTC 2025","Create entity","Users","",""
"","302","Create course","LMS service","Thu Nov 27 10:10:27 UTC 2025","passed","Thu Nov 27 10:10:27 UTC 2025","Create entity","Courses","",""
"","259","Create file with empty filename","LMS service","Thu Nov 27 10:10:32 UTC 2025","passed","Thu Nov 27 10:10:32 UTC 2025","Validate entity","Files","",""
"","304","Update course","LMS service","Thu Nov 27 10:10:26 UTC 2025","passed","Thu Nov 27 10:10:27 UTC 2025","Update entity","Courses","",""
