"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14","Get user me","LMS service","Wed Nov 26 22:09:19 UTC 2025","passed","Wed Nov 26 22:09:19 UTC 2025","Get entity","Users","",""
"","27","Delete exercise","LMS service","Wed Nov 26 22:09:14 UTC 2025","passed","Wed Nov 26 22:09:14 UTC 2025","Delete entity","Exercises","",""
"","306","Get courses","LMS service","Wed Nov 26 22:09:10 UTC 2025","passed","Wed Nov 26 22:09:10 UTC 2025","Get entities","Courses","",""
"","17","Create file with empty filename","LMS service","Wed Nov 26 22:09:16 UTC 2025","passed","Wed Nov 26 22:09:16 UTC 2025","Validate entity","Files","",""
"","18","Create file","LMS service","Wed Nov 26 22:09:15 UTC 2025","passed","Wed Nov 26 22:09:15 UTC 2025","Create entity","Files","",""
"","551","Create user","LMS service","Wed Nov 26 22:09:17 UTC 2025","passed","Wed Nov 26 22:09:18 UTC 2025","Create entity","Users","",""
"","559","Create user","LMS service","Wed Nov 26 22:09:18 UTC 2025","passed","Wed Nov 26 22:09:18 UTC 2025","Create entity","Users","",""
"","297","Get exercises","LMS service","Wed Nov 26 22:09:14 UTC 2025","passed","Wed Nov 26 22:09:15 UTC 2025","Get entities","Exercises","",""
"","39","Update course","LMS service","Wed Nov 26 22:09:11 UTC 2025","passed","Wed Nov 26 22:09:11 UTC 2025","Update entity","Courses","",""
"","293","Create user","LMS service","Wed Nov 26 22:09:18 UTC 2025","passed","Wed Nov 26 22:09:18 UTC 2025","Create entity","Users","",""
"","301","Get exercise","LMS service","Wed Nov 26 22:09:13 UTC 2025","passed","Wed Nov 26 22:09:13 UTC 2025","Get entity","Exercises","",""
"","35","Create course","LMS service","Wed Nov 26 22:09:11 UTC 2025","passed","Wed Nov 26 22:09:11 UTC 2025","Create entity","Courses","",""
"","302","Create exercise","LMS service","Wed Nov 26 22:09:12 UTC 2025","passed","Wed Nov 26 22:09:12 UTC 2025","Create entity","Exercises","",""
"","14","Get file","LMS service","Wed Nov 26 22:09:16 UTC 2025","passed","Wed Nov 26 22:09:16 UTC 2025","Get entity","Files","",""
"","27","Update exercise","LMS service","Wed Nov 26 22:09:12 UTC 2025","passed","Wed Nov 26 22:09:12 UTC 2025","Update entity","Exercises","",""
"","289","Login with correct email and password","LMS service","Wed Nov 26 22:09:09 UTC 2025","passed","Wed Nov 26 22:09:09 UTC 2025","Login","Authentication","",""
"","262","Create file with empty directory","LMS service","Wed Nov 26 22:09:17 UTC 2025","passed","Wed Nov 26 22:09:17 UTC 2025","Validate entity","Files","",""
"","296","Delete file","LMS service","Wed Nov 26 22:09:17 UTC 2025","passed","Wed Nov 26 22:09:17 UTC 2025","Delete entity","Files","",""
"","266","Get file with incorrect file id","LMS service","Wed Nov 26 22:09:18 UTC 2025","passed","Wed Nov 26 22:09:18 UTC 2025","Validate entity","Files","",""
