"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","254","Create file with empty filename","LMS service","Sun Nov 23 16:49:20 UTC 2025","passed","Sun Nov 23 16:49:21 UTC 2025","Validate entity","Files","",""
"","31","Get courses","LMS service","Sun Nov 23 16:49:15 UTC 2025","passed","Sun Nov 23 16:49:15 UTC 2025","Get entities","Courses","",""
"","295","Delete file","LMS service","Sun Nov 23 16:49:22 UTC 2025","passed","Sun Nov 23 16:49:22 UTC 2025","Delete entity","Files","",""
"","37","Create course","LMS service","Sun Nov 23 16:49:16 UTC 2025","passed","Sun Nov 23 16:49:16 UTC 2025","Create entity","Courses","",""
"","27","Create exercise","LMS service","Sun Nov 23 16:49:17 UTC 2025","passed","Sun Nov 23 16:49:17 UTC 2025","Create entity","Exercises","",""
"","552","Create user","LMS service","Sun Nov 23 16:49:22 UTC 2025","passed","Sun Nov 23 16:49:23 UTC 2025","Create entity","Users","",""
"","260","Create file with empty directory","LMS service","Sun Nov 23 16:49:22 UTC 2025","passed","Sun Nov 23 16:49:22 UTC 2025","Validate entity","Files","",""
"","24","Update exercise","LMS service","Sun Nov 23 16:49:17 UTC 2025","passed","Sun Nov 23 16:49:17 UTC 2025","Update entity","Exercises","",""
"","554","Login with correct email and password","LMS service","Sun Nov 23 16:49:14 UTC 2025","passed","Sun Nov 23 16:49:15 UTC 2025","Login","Authentication","",""
"","27","Delete exercise","LMS service","Sun Nov 23 16:49:18 UTC 2025","passed","Sun Nov 23 16:49:18 UTC 2025","Delete entity","Exercises","",""
"","22","Create file","LMS service","Sun Nov 23 16:49:20 UTC 2025","passed","Sun Nov 23 16:49:20 UTC 2025","Create entity","Files","",""
"","25","Get exercises","LMS service","Sun Nov 23 16:49:20 UTC 2025","passed","Sun Nov 23 16:49:20 UTC 2025","Get entities","Exercises","",""
"","12","Get user me","LMS service","Sun Nov 23 16:49:24 UTC 2025","passed","Sun Nov 23 16:49:24 UTC 2025","Get entity","Users","",""
"","560","Create user","LMS service","Sun Nov 23 16:49:23 UTC 2025","passed","Sun Nov 23 16:49:23 UTC 2025","Create entity","Users","",""
"","46","Get exercise","LMS service","Sun Nov 23 16:49:18 UTC 2025","passed","Sun Nov 23 16:49:18 UTC 2025","Get entity","Exercises","",""
"","33","Update course","LMS service","Sun Nov 23 16:49:16 UTC 2025","passed","Sun Nov 23 16:49:16 UTC 2025","Update entity","Courses","",""
"","15","Get file","LMS service","Sun Nov 23 16:49:21 UTC 2025","passed","Sun Nov 23 16:49:21 UTC 2025","Get entity","Files","",""
"","289","Create user","LMS service","Sun Nov 23 16:49:23 UTC 2025","passed","Sun Nov 23 16:49:23 UTC 2025","Create entity","Users","",""
"","263","Get file with incorrect file id","LMS service","Sun Nov 23 16:49:22 UTC 2025","passed","Sun Nov 23 16:49:23 UTC 2025","Validate entity","Files","",""
