"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23","Update exercise","LMS service","Tue Nov 25 18:32:22 UTC 2025","passed","Tue Nov 25 18:32:22 UTC 2025","Update entity","Exercises","",""
"","553","Create user","LMS service","Tue Nov 25 18:32:27 UTC 2025","passed","Tue Nov 25 18:32:27 UTC 2025","Create entity","Users","",""
"","33","Get courses","LMS service","Tue Nov 25 18:32:19 UTC 2025","passed","Tue Nov 25 18:32:19 UTC 2025","Get entities","Courses","",""
"","25","Get exercises","LMS service","Tue Nov 25 18:32:24 UTC 2025","passed","Tue Nov 25 18:32:24 UTC 2025","Get entities","Exercises","",""
"","24","Create exercise","LMS service","Tue Nov 25 18:32:22 UTC 2025","passed","Tue Nov 25 18:32:22 UTC 2025","Create entity","Exercises","",""
"","29","Create course","LMS service","Tue Nov 25 18:32:20 UTC 2025","passed","Tue Nov 25 18:32:20 UTC 2025","Create entity","Courses","",""
"","13","Get user me","LMS service","Tue Nov 25 18:32:28 UTC 2025","passed","Tue Nov 25 18:32:28 UTC 2025","Get entity","Users","",""
"","36","Update course","LMS service","Tue Nov 25 18:32:20 UTC 2025","passed","Tue Nov 25 18:32:20 UTC 2025","Update entity","Courses","",""
"","256","Create file with empty directory","LMS service","Tue Nov 25 18:32:26 UTC 2025","passed","Tue Nov 25 18:32:26 UTC 2025","Validate entity","Files","",""
"","20","Delete exercise","LMS service","Tue Nov 25 18:32:23 UTC 2025","passed","Tue Nov 25 18:32:23 UTC 2025","Delete entity","Exercises","",""
"","48","Get exercise","LMS service","Tue Nov 25 18:32:23 UTC 2025","passed","Tue Nov 25 18:32:23 UTC 2025","Get entity","Exercises","",""
"","262","Create file with empty filename","LMS service","Tue Nov 25 18:32:25 UTC 2025","passed","Tue Nov 25 18:32:25 UTC 2025","Validate entity","Files","",""
"","557","Create user","LMS service","Tue Nov 25 18:32:27 UTC 2025","passed","Tue Nov 25 18:32:28 UTC 2025","Create entity","Users","",""
"","17","Get file","LMS service","Tue Nov 25 18:32:25 UTC 2025","passed","Tue Nov 25 18:32:25 UTC 2025","Get entity","Files","",""
"","22","Create file","LMS service","Tue Nov 25 18:32:24 UTC 2025","passed","Tue Nov 25 18:32:24 UTC 2025","Create entity","Files","",""
"","293","Delete file","LMS service","Tue Nov 25 18:32:26 UTC 2025","passed","Tue Nov 25 18:32:27 UTC 2025","Delete entity","Files","",""
"","272","Get file with incorrect file id","LMS service","Tue Nov 25 18:32:27 UTC 2025","passed","Tue Nov 25 18:32:27 UTC 2025","Validate entity","Files","",""
"","553","Login with correct email and password","LMS service","Tue Nov 25 18:32:19 UTC 2025","passed","Tue Nov 25 18:32:19 UTC 2025","Login","Authentication","",""
"","291","Create user","LMS service","Tue Nov 25 18:32:27 UTC 2025","passed","Tue Nov 25 18:32:28 UTC 2025","Create entity","Users","",""
