"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25","Get exercises","LMS service","Sun Nov 23 19:19:33 UTC 2025","passed","Sun Nov 23 19:19:33 UTC 2025","Get entities","Exercises","",""
"","32","Delete file","LMS service","Sun Nov 23 19:19:35 UTC 2025","passed","Sun Nov 23 19:19:35 UTC 2025","Delete entity","Files","",""
"","38","Create course","LMS service","Sun Nov 23 19:19:29 UTC 2025","passed","Sun Nov 23 19:19:29 UTC 2025","Create entity","Courses","",""
"","16","Get user me","LMS service","Sun Nov 23 19:19:37 UTC 2025","passed","Sun Nov 23 19:19:37 UTC 2025","Get entity","Users","",""
"","276","Create user","LMS service","Sun Nov 23 19:19:36 UTC 2025","passed","Sun Nov 23 19:19:36 UTC 2025","Create entity","Users","",""
"","258","Get file with incorrect file id","LMS service","Sun Nov 23 19:19:36 UTC 2025","passed","Sun Nov 23 19:19:36 UTC 2025","Validate entity","Files","",""
"","62","Get exercise","LMS service","Sun Nov 23 19:19:31 UTC 2025","passed","Sun Nov 23 19:19:32 UTC 2025","Get entity","Exercises","",""
"","504","Create user","LMS service","Sun Nov 23 19:19:35 UTC 2025","passed","Sun Nov 23 19:19:36 UTC 2025","Create entity","Users","",""
"","249","Create file with empty filename","LMS service","Sun Nov 23 19:19:34 UTC 2025","passed","Sun Nov 23 19:19:34 UTC 2025","Validate entity","Files","",""
"","28","Create exercise","LMS service","Sun Nov 23 19:19:30 UTC 2025","passed","Sun Nov 23 19:19:30 UTC 2025","Create entity","Exercises","",""
"","257","Create file with empty directory","LMS service","Sun Nov 23 19:19:34 UTC 2025","passed","Sun Nov 23 19:19:35 UTC 2025","Validate entity","Files","",""
"","22","Update exercise","LMS service","Sun Nov 23 19:19:30 UTC 2025","passed","Sun Nov 23 19:19:30 UTC 2025","Update entity","Exercises","",""
"","31","Get courses","LMS service","Sun Nov 23 19:19:28 UTC 2025","passed","Sun Nov 23 19:19:28 UTC 2025","Get entities","Courses","",""
"","22","Delete exercise","LMS service","Sun Nov 23 19:19:32 UTC 2025","passed","Sun Nov 23 19:19:32 UTC 2025","Delete entity","Exercises","",""
"","38","Update course","LMS service","Sun Nov 23 19:19:29 UTC 2025","passed","Sun Nov 23 19:19:29 UTC 2025","Update entity","Courses","",""
"","534","Create user","LMS service","Sun Nov 23 19:19:36 UTC 2025","passed","Sun Nov 23 19:19:36 UTC 2025","Create entity","Users","",""
"","528","Login with correct email and password","LMS service","Sun Nov 23 19:19:28 UTC 2025","passed","Sun Nov 23 19:19:28 UTC 2025","Login","Authentication","",""
"","275","Get file","LMS service","Sun Nov 23 19:19:34 UTC 2025","passed","Sun Nov 23 19:19:34 UTC 2025","Get entity","Files","",""
"","20","Create file","LMS service","Sun Nov 23 19:19:33 UTC 2025","passed","Sun Nov 23 19:19:33 UTC 2025","Create entity","Files","",""
