"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11","Get user me","LMS service","Tue Nov 25 19:20:14 UTC 2025","passed","Tue Nov 25 19:20:14 UTC 2025","Get entity","Users","",""
"","279","Create user","LMS service","Tue Nov 25 19:20:13 UTC 2025","passed","Tue Nov 25 19:20:13 UTC 2025","Create entity","Users","",""
"","277","Update exercise","LMS service","Tue Nov 25 19:20:08 UTC 2025","passed","Tue Nov 25 19:20:08 UTC 2025","Update entity","Exercises","",""
"","511","Create user","LMS service","Tue Nov 25 19:20:13 UTC 2025","passed","Tue Nov 25 19:20:13 UTC 2025","Create entity","Users","",""
"","237","Create file with empty filename","LMS service","Tue Nov 25 19:20:11 UTC 2025","passed","Tue Nov 25 19:20:11 UTC 2025","Validate entity","Files","",""
"","273","Login with correct email and password","LMS service","Tue Nov 25 19:20:05 UTC 2025","passed","Tue Nov 25 19:20:05 UTC 2025","Login","Authentication","",""
"","251","Create file","LMS service","Tue Nov 25 19:20:10 UTC 2025","passed","Tue Nov 25 19:20:10 UTC 2025","Create entity","Files","",""
"","292","Get courses","LMS service","Tue Nov 25 19:20:06 UTC 2025","passed","Tue Nov 25 19:20:06 UTC 2025","Get entities","Courses","",""
"","277","Delete exercise","LMS service","Tue Nov 25 19:20:09 UTC 2025","passed","Tue Nov 25 19:20:10 UTC 2025","Delete entity","Exercises","",""
"","22","Delete file","LMS service","Tue Nov 25 19:20:13 UTC 2025","passed","Tue Nov 25 19:20:13 UTC 2025","Delete entity","Files","",""
"","290","Update course","LMS service","Tue Nov 25 19:20:06 UTC 2025","passed","Tue Nov 25 19:20:06 UTC 2025","Update entity","Courses","",""
"","248","Get file with incorrect file id","LMS service","Tue Nov 25 19:20:13 UTC 2025","passed","Tue Nov 25 19:20:13 UTC 2025","Validate entity","Files","",""
"","247","Create file with empty directory","LMS service","Tue Nov 25 19:20:12 UTC 2025","passed","Tue Nov 25 19:20:12 UTC 2025","Validate entity","Files","",""
"","529","Create user","LMS service","Tue Nov 25 19:20:13 UTC 2025","passed","Tue Nov 25 19:20:14 UTC 2025","Create entity","Users","",""
"","14","Get file","LMS service","Tue Nov 25 19:20:11 UTC 2025","passed","Tue Nov 25 19:20:11 UTC 2025","Get entity","Files","",""
"","32","Create course","LMS service","Tue Nov 25 19:20:07 UTC 2025","passed","Tue Nov 25 19:20:07 UTC 2025","Create entity","Courses","",""
"","25","Create exercise","LMS service","Tue Nov 25 19:20:07 UTC 2025","passed","Tue Nov 25 19:20:07 UTC 2025","Create entity","Exercises","",""
"","24","Get exercise","LMS service","Tue Nov 25 19:20:09 UTC 2025","passed","Tue Nov 25 19:20:09 UTC 2025","Get entity","Exercises","",""
"","17","Get exercises","LMS service","Tue Nov 25 19:20:10 UTC 2025","passed","Tue Nov 25 19:20:10 UTC 2025","Get entities","Exercises","",""
