"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","258","Get file with incorrect file id","LMS service","Thu Nov 27 13:00:53 UTC 2025","passed","Thu Nov 27 13:00:54 UTC 2025","Validate entity","Files","",""
"","34","Update course","LMS service","Thu Nov 27 13:00:47 UTC 2025","passed","Thu Nov 27 13:00:47 UTC 2025","Update entity","Courses","",""
"","37","Get courses","LMS service","Thu Nov 27 13:00:46 UTC 2025","passed","Thu Nov 27 13:00:46 UTC 2025","Get entities","Courses","",""
"","57","Get exercise","LMS service","Thu Nov 27 13:00:49 UTC 2025","passed","Thu Nov 27 13:00:49 UTC 2025","Get entity","Exercises","",""
"","17","Get file","LMS service","Thu Nov 27 13:00:51 UTC 2025","passed","Thu Nov 27 13:00:51 UTC 2025","Get entity","Files","",""
"","263","Create file with empty filename","LMS service","Thu Nov 27 13:00:51 UTC 2025","passed","Thu Nov 27 13:00:51 UTC 2025","Validate entity","Files","",""
"","18","Delete exercise","LMS service","Thu Nov 27 13:00:49 UTC 2025","passed","Thu Nov 27 13:00:49 UTC 2025","Delete entity","Exercises","",""
"","12","Get user me","LMS service","Thu Nov 27 13:00:55 UTC 2025","passed","Thu Nov 27 13:00:55 UTC 2025","Get entity","Users","",""
"","27","Create file","LMS service","Thu Nov 27 13:00:50 UTC 2025","passed","Thu Nov 27 13:00:50 UTC 2025","Create entity","Files","",""
"","526","Create user","LMS service","Thu Nov 27 13:00:53 UTC 2025","passed","Thu Nov 27 13:00:53 UTC 2025","Create entity","Users","",""
"","23","Delete file","LMS service","Thu Nov 27 13:00:53 UTC 2025","passed","Thu Nov 27 13:00:53 UTC 2025","Delete entity","Files","",""
"","31","Create course","LMS service","Thu Nov 27 13:00:47 UTC 2025","passed","Thu Nov 27 13:00:47 UTC 2025","Create entity","Courses","",""
"","558","Create user","LMS service","Thu Nov 27 13:00:54 UTC 2025","passed","Thu Nov 27 13:00:54 UTC 2025","Create entity","Users","",""
"","265","Create file with empty directory","LMS service","Thu Nov 27 13:00:52 UTC 2025","passed","Thu Nov 27 13:00:53 UTC 2025","Validate entity","Files","",""
"","551","Login with correct email and password","LMS service","Thu Nov 27 13:00:45 UTC 2025","passed","Thu Nov 27 13:00:46 UTC 2025","Login","Authentication","",""
"","526","Create user","LMS service","Thu Nov 27 13:00:53 UTC 2025","passed","Thu Nov 27 13:00:54 UTC 2025","Create entity","Users","",""
"","23","Update exercise","LMS service","Thu Nov 27 13:00:48 UTC 2025","passed","Thu Nov 27 13:00:48 UTC 2025","Update entity","Exercises","",""
"","24","Get exercises","LMS service","Thu Nov 27 13:00:50 UTC 2025","passed","Thu Nov 27 13:00:50 UTC 2025","Get entities","Exercises","",""
"","25","Create exercise","LMS service","Thu Nov 27 13:00:48 UTC 2025","passed","Thu Nov 27 13:00:48 UTC 2025","Create entity","Exercises","",""
