"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31","Create exercise","LMS service","Tue Nov 25 18:24:34 UTC 2025","passed","Tue Nov 25 18:24:34 UTC 2025","Create entity","Exercises","",""
"","272","Get file with incorrect file id","LMS service","Tue Nov 25 18:24:39 UTC 2025","passed","Tue Nov 25 18:24:39 UTC 2025","Validate entity","Files","",""
"","27","Delete exercise","LMS service","Tue Nov 25 18:24:35 UTC 2025","passed","Tue Nov 25 18:24:35 UTC 2025","Delete entity","Exercises","",""
"","255","Create file with empty filename","LMS service","Tue Nov 25 18:24:37 UTC 2025","passed","Tue Nov 25 18:24:37 UTC 2025","Validate entity","Files","",""
"","290","Create user","LMS service","Tue Nov 25 18:24:39 UTC 2025","passed","Tue Nov 25 18:24:40 UTC 2025","Create entity","Users","",""
"","309","Update course","LMS service","Tue Nov 25 18:24:32 UTC 2025","passed","Tue Nov 25 18:24:33 UTC 2025","Update entity","Courses","",""
"","13","Get user me","LMS service","Tue Nov 25 18:24:41 UTC 2025","passed","Tue Nov 25 18:24:41 UTC 2025","Get entity","Users","",""
"","299","Delete file","LMS service","Tue Nov 25 18:24:39 UTC 2025","passed","Tue Nov 25 18:24:39 UTC 2025","Delete entity","Files","",""
"","26","Get exercises","LMS service","Tue Nov 25 18:24:36 UTC 2025","passed","Tue Nov 25 18:24:36 UTC 2025","Get entities","Exercises","",""
"","16","Get file","LMS service","Tue Nov 25 18:24:37 UTC 2025","passed","Tue Nov 25 18:24:37 UTC 2025","Get entity","Files","",""
"","558","Create user","LMS service","Tue Nov 25 18:24:39 UTC 2025","passed","Tue Nov 25 18:24:40 UTC 2025","Create entity","Users","",""
"","261","Create file with empty directory","LMS service","Tue Nov 25 18:24:38 UTC 2025","passed","Tue Nov 25 18:24:39 UTC 2025","Validate entity","Files","",""
"","33","Create course","LMS service","Tue Nov 25 18:24:33 UTC 2025","passed","Tue Nov 25 18:24:33 UTC 2025","Create entity","Courses","",""
"","547","Create user","LMS service","Tue Nov 25 18:24:39 UTC 2025","passed","Tue Nov 25 18:24:39 UTC 2025","Create entity","Users","",""
"","25","Create file","LMS service","Tue Nov 25 18:24:36 UTC 2025","passed","Tue Nov 25 18:24:36 UTC 2025","Create entity","Files","",""
"","59","Get exercise","LMS service","Tue Nov 25 18:24:35 UTC 2025","passed","Tue Nov 25 18:24:35 UTC 2025","Get entity","Exercises","",""
"","26","Update exercise","LMS service","Tue Nov 25 18:24:34 UTC 2025","passed","Tue Nov 25 18:24:34 UTC 2025","Update entity","Exercises","",""
"","557","Login with correct email and password","LMS service","Tue Nov 25 18:24:31 UTC 2025","passed","Tue Nov 25 18:24:31 UTC 2025","Login","Authentication","",""
"","36","Get courses","LMS service","Tue Nov 25 18:24:32 UTC 2025","passed","Tue Nov 25 18:24:32 UTC 2025","Get entities","Courses","",""
