"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","309","Update course","LMS service","Wed Nov 26 22:50:02 UTC 2025","passed","Wed Nov 26 22:50:03 UTC 2025","Update entity","Courses","",""
"","18","Get file","LMS service","Wed Nov 26 22:50:07 UTC 2025","passed","Wed Nov 26 22:50:07 UTC 2025","Get entity","Files","",""
"","535","Create user","LMS service","Wed Nov 26 22:50:09 UTC 2025","passed","Wed Nov 26 22:50:10 UTC 2025","Create entity","Users","",""
"","23","Get exercises","LMS service","Wed Nov 26 22:50:06 UTC 2025","passed","Wed Nov 26 22:50:06 UTC 2025","Get entities","Exercises","",""
"","261","Create file with empty filename","LMS service","Wed Nov 26 22:50:08 UTC 2025","passed","Wed Nov 26 22:50:08 UTC 2025","Validate entity","Files","",""
"","16","Get user me","LMS service","Wed Nov 26 22:50:11 UTC 2025","passed","Wed Nov 26 22:50:11 UTC 2025","Get entity","Users","",""
"","25","Create exercise","LMS service","Wed Nov 26 22:50:04 UTC 2025","passed","Wed Nov 26 22:50:04 UTC 2025","Create entity","Exercises","",""
"","266","Get file with incorrect file id","LMS service","Wed Nov 26 22:50:09 UTC 2025","passed","Wed Nov 26 22:50:10 UTC 2025","Validate entity","Files","",""
"","267","Create file with empty directory","LMS service","Wed Nov 26 22:50:08 UTC 2025","passed","Wed Nov 26 22:50:09 UTC 2025","Validate entity","Files","",""
"","22","Delete file","LMS service","Wed Nov 26 22:50:09 UTC 2025","passed","Wed Nov 26 22:50:09 UTC 2025","Delete entity","Files","",""
"","287","Login with correct email and password","LMS service","Wed Nov 26 22:50:01 UTC 2025","passed","Wed Nov 26 22:50:01 UTC 2025","Login","Authentication","",""
"","290","Create user","LMS service","Wed Nov 26 22:50:10 UTC 2025","passed","Wed Nov 26 22:50:10 UTC 2025","Create entity","Users","",""
"","264","Create file","LMS service","Wed Nov 26 22:50:07 UTC 2025","passed","Wed Nov 26 22:50:07 UTC 2025","Create entity","Files","",""
"","34","Create course","LMS service","Wed Nov 26 22:50:03 UTC 2025","passed","Wed Nov 26 22:50:03 UTC 2025","Create entity","Courses","",""
"","289","Delete exercise","LMS service","Wed Nov 26 22:50:06 UTC 2025","passed","Wed Nov 26 22:50:06 UTC 2025","Delete entity","Exercises","",""
"","292","Update exercise","LMS service","Wed Nov 26 22:50:04 UTC 2025","passed","Wed Nov 26 22:50:05 UTC 2025","Update entity","Exercises","",""
"","303","Get courses","LMS service","Wed Nov 26 22:50:02 UTC 2025","passed","Wed Nov 26 22:50:02 UTC 2025","Get entities","Courses","",""
"","559","Create user","LMS service","Wed Nov 26 22:50:10 UTC 2025","passed","Wed Nov 26 22:50:10 UTC 2025","Create entity","Users","",""
"","21","Get exercise","LMS service","Wed Nov 26 22:50:05 UTC 2025","passed","Wed Nov 26 22:50:05 UTC 2025","Get entity","Exercises","",""
