"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","263","Create file with empty directory","LMS service","Tue Nov 25 18:34:30 UTC 2025","passed","Tue Nov 25 18:34:30 UTC 2025","Validate entity","Files","",""
"","31","Update course","LMS service","Tue Nov 25 18:34:24 UTC 2025","passed","Tue Nov 25 18:34:24 UTC 2025","Update entity","Courses","",""
"","22","Delete exercise","LMS service","Tue Nov 25 18:34:27 UTC 2025","passed","Tue Nov 25 18:34:27 UTC 2025","Delete entity","Exercises","",""
"","16","Get file","LMS service","Tue Nov 25 18:34:29 UTC 2025","passed","Tue Nov 25 18:34:29 UTC 2025","Get entity","Files","",""
"","33","Create course","LMS service","Tue Nov 25 18:34:24 UTC 2025","passed","Tue Nov 25 18:34:24 UTC 2025","Create entity","Courses","",""
"","556","Create user","LMS service","Tue Nov 25 18:34:31 UTC 2025","passed","Tue Nov 25 18:34:31 UTC 2025","Create entity","Users","",""
"","270","Get file with incorrect file id","LMS service","Tue Nov 25 18:34:30 UTC 2025","passed","Tue Nov 25 18:34:31 UTC 2025","Validate entity","Files","",""
"","21","Create file","LMS service","Tue Nov 25 18:34:28 UTC 2025","passed","Tue Nov 25 18:34:28 UTC 2025","Create entity","Files","",""
"","291","Create user","LMS service","Tue Nov 25 18:34:31 UTC 2025","passed","Tue Nov 25 18:34:31 UTC 2025","Create entity","Users","",""
"","16","Create file with empty filename","LMS service","Tue Nov 25 18:34:29 UTC 2025","passed","Tue Nov 25 18:34:29 UTC 2025","Validate entity","Files","",""
"","298","Delete file","LMS service","Tue Nov 25 18:34:30 UTC 2025","passed","Tue Nov 25 18:34:30 UTC 2025","Delete entity","Files","",""
"","13","Get user me","LMS service","Tue Nov 25 18:34:32 UTC 2025","passed","Tue Nov 25 18:34:32 UTC 2025","Get entity","Users","",""
"","295","Get exercises","LMS service","Tue Nov 25 18:34:27 UTC 2025","passed","Tue Nov 25 18:34:27 UTC 2025","Get entities","Exercises","",""
"","34","Get courses","LMS service","Tue Nov 25 18:34:23 UTC 2025","passed","Tue Nov 25 18:34:23 UTC 2025","Get entities","Courses","",""
"","27","Update exercise","LMS service","Tue Nov 25 18:34:25 UTC 2025","passed","Tue Nov 25 18:34:25 UTC 2025","Update entity","Exercises","",""
"","293","Get exercise","LMS service","Tue Nov 25 18:34:26 UTC 2025","passed","Tue Nov 25 18:34:26 UTC 2025","Get entity","Exercises","",""
"","288","Login with correct email and password","LMS service","Tue Nov 25 18:34:22 UTC 2025","passed","Tue Nov 25 18:34:22 UTC 2025","Login","Authentication","",""
"","555","Create user","LMS service","Tue Nov 25 18:34:30 UTC 2025","passed","Tue Nov 25 18:34:31 UTC 2025","Create entity","Users","",""
"","300","Create exercise","LMS service","Tue Nov 25 18:34:25 UTC 2025","passed","Tue Nov 25 18:34:25 UTC 2025","Create entity","Exercises","",""
