"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","554","Login with correct email and password","LMS service","Sun Nov 23 17:56:07 UTC 2025","passed","Sun Nov 23 17:56:08 UTC 2025","Login","Authentication","",""
"","21","Create file","LMS service","Sun Nov 23 17:56:12 UTC 2025","passed","Sun Nov 23 17:56:12 UTC 2025","Create entity","Files","",""
"","31","Get courses","LMS service","Sun Nov 23 17:56:08 UTC 2025","passed","Sun Nov 23 17:56:08 UTC 2025","Get entities","Courses","",""
"","34","Update course","LMS service","Sun Nov 23 17:56:09 UTC 2025","passed","Sun Nov 23 17:56:09 UTC 2025","Update entity","Courses","",""
"","538","Create user","LMS service","Sun Nov 23 17:56:15 UTC 2025","passed","Sun Nov 23 17:56:16 UTC 2025","Create entity","Users","",""
"","47","Get exercise","LMS service","Sun Nov 23 17:56:11 UTC 2025","passed","Sun Nov 23 17:56:11 UTC 2025","Get entity","Exercises","",""
"","294","Delete file","LMS service","Sun Nov 23 17:56:15 UTC 2025","passed","Sun Nov 23 17:56:15 UTC 2025","Delete entity","Files","",""
"","23","Update exercise","LMS service","Sun Nov 23 17:56:10 UTC 2025","passed","Sun Nov 23 17:56:10 UTC 2025","Update entity","Exercises","",""
"","15","Get file","LMS service","Sun Nov 23 17:56:14 UTC 2025","passed","Sun Nov 23 17:56:14 UTC 2025","Get entity","Files","",""
"","28","Create exercise","LMS service","Sun Nov 23 17:56:10 UTC 2025","passed","Sun Nov 23 17:56:10 UTC 2025","Create entity","Exercises","",""
"","29","Create course","LMS service","Sun Nov 23 17:56:09 UTC 2025","passed","Sun Nov 23 17:56:09 UTC 2025","Create entity","Courses","",""
"","261","Create file with empty filename","LMS service","Sun Nov 23 17:56:13 UTC 2025","passed","Sun Nov 23 17:56:14 UTC 2025","Validate entity","Files","",""
"","259","Get file with incorrect file id","LMS service","Sun Nov 23 17:56:15 UTC 2025","passed","Sun Nov 23 17:56:16 UTC 2025","Validate entity","Files","",""
"","262","Create file with empty directory","LMS service","Sun Nov 23 17:56:14 UTC 2025","passed","Sun Nov 23 17:56:15 UTC 2025","Validate entity","Files","",""
"","559","Create user","LMS service","Sun Nov 23 17:56:16 UTC 2025","passed","Sun Nov 23 17:56:16 UTC 2025","Create entity","Users","",""
"","20","Get exercises","LMS service","Sun Nov 23 17:56:12 UTC 2025","passed","Sun Nov 23 17:56:12 UTC 2025","Get entities","Exercises","",""
"","21","Delete exercise","LMS service","Sun Nov 23 17:56:11 UTC 2025","passed","Sun Nov 23 17:56:11 UTC 2025","Delete entity","Exercises","",""
"","287","Create user","LMS service","Sun Nov 23 17:56:16 UTC 2025","passed","Sun Nov 23 17:56:16 UTC 2025","Create entity","Users","",""
"","15","Get user me","LMS service","Sun Nov 23 17:56:17 UTC 2025","passed","Sun Nov 23 17:56:17 UTC 2025","Get entity","Users","",""
