"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","563","Create user","LMS service","Tue Nov 25 18:16:22 UTC 2025","passed","Tue Nov 25 18:16:23 UTC 2025","Create entity","Users","",""
"","291","Create user","LMS service","Tue Nov 25 18:16:22 UTC 2025","passed","Tue Nov 25 18:16:23 UTC 2025","Create entity","Users","",""
"","31","Create course","LMS service","Tue Nov 25 18:16:15 UTC 2025","passed","Tue Nov 25 18:16:15 UTC 2025","Create entity","Courses","",""
"","25","Get exercises","LMS service","Tue Nov 25 18:16:19 UTC 2025","passed","Tue Nov 25 18:16:19 UTC 2025","Get entities","Exercises","",""
"","50","Get exercise","LMS service","Tue Nov 25 18:16:18 UTC 2025","passed","Tue Nov 25 18:16:18 UTC 2025","Get entity","Exercises","",""
"","254","Create file with empty filename","LMS service","Tue Nov 25 18:16:20 UTC 2025","passed","Tue Nov 25 18:16:20 UTC 2025","Validate entity","Files","",""
"","308","Update course","LMS service","Tue Nov 25 18:16:15 UTC 2025","passed","Tue Nov 25 18:16:15 UTC 2025","Update entity","Courses","",""
"","20","Delete exercise","LMS service","Tue Nov 25 18:16:18 UTC 2025","passed","Tue Nov 25 18:16:18 UTC 2025","Delete entity","Exercises","",""
"","267","Get file with incorrect file id","LMS service","Tue Nov 25 18:16:22 UTC 2025","passed","Tue Nov 25 18:16:22 UTC 2025","Validate entity","Files","",""
"","293","Delete file","LMS service","Tue Nov 25 18:16:21 UTC 2025","passed","Tue Nov 25 18:16:22 UTC 2025","Delete entity","Files","",""
"","22","Create file","LMS service","Tue Nov 25 18:16:19 UTC 2025","passed","Tue Nov 25 18:16:19 UTC 2025","Create entity","Files","",""
"","550","Create user","LMS service","Tue Nov 25 18:16:22 UTC 2025","passed","Tue Nov 25 18:16:22 UTC 2025","Create entity","Users","",""
"","31","Create exercise","LMS service","Tue Nov 25 18:16:17 UTC 2025","passed","Tue Nov 25 18:16:17 UTC 2025","Create entity","Exercises","",""
"","287","Login with correct email and password","LMS service","Tue Nov 25 18:16:14 UTC 2025","passed","Tue Nov 25 18:16:14 UTC 2025","Login","Authentication","",""
"","13","Get user me","LMS service","Tue Nov 25 18:16:23 UTC 2025","passed","Tue Nov 25 18:16:23 UTC 2025","Get entity","Users","",""
"","23","Update exercise","LMS service","Tue Nov 25 18:16:17 UTC 2025","passed","Tue Nov 25 18:16:17 UTC 2025","Update entity","Exercises","",""
"","269","Create file with empty directory","LMS service","Tue Nov 25 18:16:21 UTC 2025","passed","Tue Nov 25 18:16:21 UTC 2025","Validate entity","Files","",""
"","33","Get courses","LMS service","Tue Nov 25 18:16:15 UTC 2025","passed","Tue Nov 25 18:16:15 UTC 2025","Get entities","Courses","",""
"","14","Get file","LMS service","Tue Nov 25 18:16:20 UTC 2025","passed","Tue Nov 25 18:16:20 UTC 2025","Get entity","Files","",""
