"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","26","Create exercise","LMS service","Tue Nov 25 19:56:57 UTC 2025","passed","Tue Nov 25 19:56:57 UTC 2025","Create entity","Exercises","",""
"","277","Update exercise","LMS service","Tue Nov 25 19:56:57 UTC 2025","passed","Tue Nov 25 19:56:58 UTC 2025","Update entity","Exercises","",""
"","33","Create course","LMS service","Tue Nov 25 19:56:56 UTC 2025","passed","Tue Nov 25 19:56:56 UTC 2025","Create entity","Courses","",""
"","278","Create user","LMS service","Tue Nov 25 19:57:03 UTC 2025","passed","Tue Nov 25 19:57:03 UTC 2025","Create entity","Users","",""
"","13","Get user me","LMS service","Tue Nov 25 19:57:04 UTC 2025","passed","Tue Nov 25 19:57:04 UTC 2025","Get entity","Users","",""
"","288","Get courses","LMS service","Tue Nov 25 19:56:55 UTC 2025","passed","Tue Nov 25 19:56:55 UTC 2025","Get entities","Courses","",""
"","276","Delete exercise","LMS service","Tue Nov 25 19:56:59 UTC 2025","passed","Tue Nov 25 19:56:59 UTC 2025","Delete entity","Exercises","",""
"","24","Delete file","LMS service","Tue Nov 25 19:57:02 UTC 2025","passed","Tue Nov 25 19:57:02 UTC 2025","Delete entity","Files","",""
"","275","Login with correct email and password","LMS service","Tue Nov 25 19:56:54 UTC 2025","passed","Tue Nov 25 19:56:55 UTC 2025","Login","Authentication","",""
"","532","Create user","LMS service","Tue Nov 25 19:57:03 UTC 2025","passed","Tue Nov 25 19:57:03 UTC 2025","Create entity","Users","",""
"","253","Create file with empty filename","LMS service","Tue Nov 25 19:57:01 UTC 2025","passed","Tue Nov 25 19:57:01 UTC 2025","Validate entity","Files","",""
"","508","Create user","LMS service","Tue Nov 25 19:57:02 UTC 2025","passed","Tue Nov 25 19:57:03 UTC 2025","Create entity","Users","",""
"","284","Update course","LMS service","Tue Nov 25 19:56:55 UTC 2025","passed","Tue Nov 25 19:56:56 UTC 2025","Update entity","Courses","",""
"","247","Get file with incorrect file id","LMS service","Tue Nov 25 19:57:02 UTC 2025","passed","Tue Nov 25 19:57:03 UTC 2025","Validate entity","Files","",""
"","249","Create file","LMS service","Tue Nov 25 19:56:59 UTC 2025","passed","Tue Nov 25 19:57:00 UTC 2025","Create entity","Files","",""
"","22","Get exercise","LMS service","Tue Nov 25 19:56:58 UTC 2025","passed","Tue Nov 25 19:56:58 UTC 2025","Get entity","Exercises","",""
"","256","Create file with empty directory","LMS service","Tue Nov 25 19:57:01 UTC 2025","passed","Tue Nov 25 19:57:01 UTC 2025","Validate entity","Files","",""
"","23","Get exercises","LMS service","Tue Nov 25 19:56:59 UTC 2025","passed","Tue Nov 25 19:56:59 UTC 2025","Get entities","Exercises","",""
"","18","Get file","LMS service","Tue Nov 25 19:57:00 UTC 2025","passed","Tue Nov 25 19:57:00 UTC 2025","Get entity","Files","",""
